"<iframe src=""https://player.vimeo.com/video/708654015?h=c69c94c1b9"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",SORTIERUNG,AUSSTELLUNGSTITEL / PROJEKTTITEL (max. 60 ZmL),UNTERTITEL DE (max. 150 ZmL),UNTERTITEL EN (ÜBERNIMMT MAGDALENA)  (max. 150 ZmL),DATUM ,ZEIT START,ZEIT ENDE,ORT (UNI),STOCKWERK,RAUMBEZEICHNUNG  / Zusatz,ADRESSE TITEL,ADRESSE GASSE ,ADRESSE PLZ,ADRESSE MAPS LINK,FORMAT (Festivalprogramm) ,ABTEILUNG,INSTITUT ,TEXT KURZ DE (300-600 ZmL) ,TEXT KURZ EN PROJEKTTEXT (300-600 ZmL) ÜBERNIMMT MAGDALENA,YOUTUBE,VIMEO,SOUNDCLOUD,PROJEKTWEBSITE,NOTIZ HARDFACTS ÜBERSCHRIFT DE,NOTIZ HARDFACTS TEXT DE,NOTIZ HARDFACTS ÜBERSCHRIFT EN ,NOTIZ HARDFACTS TEXT EN ,NOTIZ COPYTEXT ÜBERSCHRIFT DE,NOTIZ COPYTEXT TEXT DE ,NOTIZ COPYTEXT ÜBERSCHRIFT EN,NOTIZ COPYTEXT TEXT EN,AAA (Angewandte Abschluss Arbeiten):, 
58,58,You probably think all of this is about you,,,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,VZA 7,040 ,Brücke,,,,,Ausstellung in den zentralen Uni-Gebäuden,Medientheorie,Institut für Bildende und Mediale Kunst,"Ausgehend vom Seminar „Media & Paranoia“ von Clemens Apprich bieten Studierende unterschiedlicher Herkunft ihren Blick auf die paranoiden Möglichkeiten der digitalen Medientechnologien, deren Mechanismen sie untersucht haben. Die Ausstellung zeigt die gemeinsamen Überlegungen zu den verschiedenen Arten des paranoiden Denkens – sowohl im physischen Raum als auch in einem Magazin und dessen Online-Version. Durch diverse Medienarten werden die verschiedenen Stufen des paranoiden Denkens zu einem Pfad, dem die Besucher*innen folgen können.","Taking the seminar “Media & Paranoia” by Clemens Apprich as their point of departure, and after having investigated the underlying mechanisms, students from different backgrounds offer their view of the paranoid possibilities of digital media technologies. The exhibition presents a collective reflection on different modes of paranoid thinking—both in physical space and a zine, together with its online version. In various forms of media, the works take visitors through the different stages of paranoid thinking.",,,,,,,,,Beteiligte ,"Studierende des Seminars „Media & Paranoia""",Contributers,"Students of the seminar ""Media & Paranoia""",,
59,59,Erinnern Sie Material? ,Do you remember Materials?,Do you remember Materials?,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,VZA 7,040 ,"SR 21 + B 10, SR 22 + Raum 328 (3. OG) ",,,,,Ausstellung in den zentralen Uni-Gebäuden,Kunst & Kommunikative Praxis,"Institut für Kunstwissenschaften, Kunstpädagogik und Kunstvermittlung","Wir beziehen uns auf Erinnerungen oft als geistige Bilder. Während einzelne Eindrücke in der Lage sein mögen, Erinnerungen aufzurufen, bleiben sinnliche Qualitäten selten isoliert gespeichert. Sie werden vielmehr zu kombinierten Elementen des Gedächtnisses – etwa zur Erinnerung an ein Material. Eine solche stellt eine hochdimensionale Idee dar, welche auch Texturen oder das Verhalten unter Umwelteinflüssen beinhaltet. Die Arbeiten der Ausstellung bilden ein Orbital von Aufmerksamkeit rund um derartige Erinnerungen.
Die Präsentation wurde von den künstlerischen Abteilungen des Lehramts gemeinsam entwickelt. Diesjährige Kuratorin ist Isin Önol, Gastprofessorin an der Abteilung KKP.","We often refer to memories as mental images. While individual impressions may be able to recall memories directly, their sensual qualities are rarely stored on their own. Instead, they become merged in composite memory elements of greater complexity—for example, the memory of a particular material. These constitute high-dimensional ideas, consisting, say, of texture or its reaction to environmental influences. The works in this exhibition form an orbit of attention around the memory of materials. 
The presentation was developed through a collaboration between the departments of art education. This year’s curator is Isin Önol, visiting professor at the department KKP.",,,,,,,,,Beteiligte ,"Studierende des Instituts für Kunstwissenschaften, Kunstpädagogik und Kunstvermittlung",Contributers,Students of the Institute of Art Sciences and Art Education,,"Öffnungszeiten der Universitätsbibliothek beim Angewandte Festival 
Di (2022-06-28) – Do (30. 6.), 11:00–18:00 Uhr, Fr (1. 7.), 11:00–16:00 Uhr"
60,60,Resource–Outsource-Desource,Social Design Masterthesen II,Social Design Master Projects II,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,VZA 7,040 ,B 11 + B 12 + B 13,,,,,Ausstellung in den zentralen Uni-Gebäuden,Social Design,Institut für Kunst und Gesellschaft,"Die Social-Design-Masterthesen sind vielfältig in ihren Methoden und teilen dabei das grundsätzliche Ziel, Aufmerksamkeiten zu schärfen. Es geht darum, Denkroutinen zu durchbrechen, Gewohnheiten zu hinterfragen und so Freiräume für laufend notwendige Veränderungen zu eröffnen. Die greifbare wie verletzliche Materialität von städtischen Räumen wird thematisiert, genauso wie die Geschmacksrichtungen, die sich in einer diversen Stadtgesellschaft einschlagen lassen und nicht zuletzt die Sehnsucht nach dem Horizont, den man in urbanen Engführungen allzu schnell aus dem Blick verliert.","The Social Design master’s projects are diverse in their methods; the basic goal they share is to sharpen perception. It’s about breaking through routines of thinking, questioning unspoken conventions, and thus opening up a space for changes that become necessary on an ongoing basis. The works address the tangible and vulnerable materiality of urban space, the flavors that trigger differing orientations and belongings in a diverse urban society, and, last but not least, a longing for the horizon, which one all too quickly loses sight of in urban constraints.",,,,,,,,,Beteiligte ,Social Design Studio,Contributers,Social Design Studio,"Theresa Binder, Yue Hu, Danny Nedkova & Lorenz Zenleser",
61,61,CHAPBOOKS,Handgemachte Gedichtbände,Handmade Books of Poems,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",,,VZA 7,050,Bibliothek,,,,,Ausstellung in den zentralen Uni-Gebäuden,Sprachkunst,Institut für Sprachkunst,"Vom Leben einer Marille bis zu queeren Gedichten über die laotische Felsenratte, vom Zyklus über das Spazierengehen bis zur Ode an das personifizierte Nichtstun: Im Lyrik-Kurs von Juliane Liebert haben Studierende der Sprachkunst Chapbooks mit lyrischen Schnapsideen und literarischen Wagnissen produziert. Ein Chapbook ist ein kleines Druckwerk mit überschaubarer Seitenanzahl, mal geheftet, mal mit einem Sattelstich gebunden. Die handgemachten Publikationen sind in Kooperation mit der Werkstätte Buch und Papier entstanden.

Die Ausstellung kann zu folgenden Öffnungszeiten der Universitätsbibliothek besucht werden: 
Di (2022-06-28) – Do (30. 6.), 11:00–18:00 Uhr, Fr (1. 7.), 11:00–16:00 Uhr","From the life of an apricot to queer poems about the Laotian rock rat; from a series on going for a walk to an ode to the personification of doing nothing: in Juliane Liebert’s poetry course, students of the language arts produced chapbooks containing lyrical, crackpot ideas and literary bravado. A chapbook is a small printed work with a modest number of pages and a stapled or saddle-stitch binding. The handmade publications were created in cooperation with the workshops for paper and books.

The exhibition can be visited during the following opening hours of the University Library: Tue (6.28.) - Thu (6.30.), 11:00 a.m.-6:00 p.m., Fri (7.1.), 11:00 a.m.-4:00 p.m.",,,,,Öffnungszeiten Universitätsbibliothek,"Di 28.6. – Do 30. 6., 11:00–18:00 Uhr, 
Fr 1. 7., 11:00–16:00 Uhr",Opening Hours University Library ,"Tue 28.6. – Thu 30. 6., 11:00–18:00, 
Fri 1. 7., 11:00–16:00",Beteiligte ,Studierende des Instituts für Sprachkunst,Contributers,Students of the Institute of Language Arts,,
62,62,Arbeiten aus der Werkstätte Buch und Papier,,,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",,,VZA 7,050,Bibliothek,,,,,Ausstellung in den zentralen Uni-Gebäuden,Buch und Papier,Institut für Kunst und Technologie,"In zwei Vitrinen werden Arbeiten gezeigt, die in der Werkstätte Buch und Papier gefertigt wurden. Darunter befinden sich Künstlerbücher, eine Mappenschachtel, Monatshefte, Schuber oder die Kartonage zu einem selbstentworfenen Spiel.

Die Ausstellung kann zu folgenden Öffnungszeiten der Universitätsbibliothek besucht werden: 
Di (2022-06-28) – Do (30. 6.), 11:00–18:00 Uhr, Fr (1. 7.), 11:00–16:00 Uhr","Works produced in the book and paper workshop are presented in two showcases. Among them are artists’ books, a box for folders, monthlies, slipcases, and the cardboard box of a home-made game.

The exhibition can be visited during the following opening hours of the University Library: Tue (6.28.) - Thu (6.30.), 11:00 a.m.-6:00 p.m., Fri (7.1.), 11:00 a.m.-4:00 p.m.",,,,,Öffnungszeiten Universitätsbibliothek,"Di 28.6. – Do 30. 6., 11:00–18:00 Uhr, 
Fr 1. 7., 11:00–16:00 Uhr",Opening Hours University Library ,"Tue 28.6. – Thu 30. 6., 11:00–18:00, 
Fri 1. 7., 11:00–16:00",Beteiligte ,"Studierende verschiedener Abteilungen: Carmen Alber, Verena Gotthardt, Isabella Kohlhuber, Julia Rohn, Gudrun Ragossnig",Contributers,"Students from various departments: Carmen Alber, Verena Gotthardt, Isabella Kohlhuber, Julia Rohn, Gudrun Ragossnig",,
63,63,Sonic Sensibility,Connecting Acoustic Spaces & RE/SONANZ,Connecting Acoustic Spaces & RE/SONANZ,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,PSK,005,Angewandte Interdisciplinary Lab,,,,,Ausstellung in den zentralen Uni-Gebäuden,Angewandte Interdisciplinary Lab,,"Unter dem Titel ""Sonic Sensibility"" widmet sich das AIL-Programm dem Sound einerseits in seiner materiellen und relationalen Beschaffenheit, andererseits in seiner sozialen und politischen Dimension. Klang ist niemals nur an einem Ort, er durchdringt Körper und Raum. Dadurch ist ein akustisches Ereignis immer ein soziales. Sound wird übersetzt, vermittelt und kollektiv verhandelt.","Under the title “Sonic Sensibility,” the AIL program addresses sound in terms of both its material and relational nature and its social and political dimensions. Sound never exists in just one place; it permeates the body and space. As a result, an acoustic event is always a social experience. Sound is translated, mediated, and collectively negotiated.",,,,ail.angewandte.at,,,,,Beteiligte ,"Ricarda Denzer, Natalia Domínguez Rangel",Contributers,"Ricarda Denzer, Natalia Domínguez Rangel","Leah Dorner, Maria Kanzler, Stella Krausz, Lena Michalik",
64,64,Let’s Dancefloor!,Eine Odyssee und ihr glückliches Ende ,An Odyssey and its Happy Ending ,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,PSK,005,Raum 002 (Angewandte Performance Lab) ,,,,,Ausstellung in den zentralen Uni-Gebäuden,Angewandte Robotics Lab,,"Das APL Performance Studio, das sich immer zugänglich für die ganze Angewandte zeigen will,  öffnet nach Monaten Raumlosigkeit wieder seine Türen. Wir freuen uns einfach auf zahlreichen Besuch und viele Anregungen für unsere gemeinsame performative Zukunft – Just Come and See!

2022-06-29, 19:00 Uhr
Showing von Studierenden im Rahmen der Lehrveranstaltung ""Performance und Raum""","The APL Performance Studio, which has always sought to be accessible to the whole Angewandte community, is opening its doors again after months of being vacant. We’re simply looking forward to the many visitors and their suggestions for our common performative future. Come and have a look!

Wednesday, June 29, 7 p.m.
Showing of students in the framework of the course ""Performance und Raum""",,,,apl.uni-ak.ac.at/,,,,,Beteiligte ,"APL Senior Artists: Peter Kozek, Barbis Ruder, Lucie Strecker;
APL Working Group: Ricarda Denzer, Nikolaus Gansterer, Philipp Gehmacher, Mariella Greil, Timothy Nouzak, Charlotta Ruth, Jasmin Schaitl;
Mit performativen Beiträgen von Studierenden „Performance und Raum“ und APL-assoziierten Lehrveranstaltungen.",Contributers,"APL Senior Artists:Peter Kozek, Barbis Ruder, Lucie Strecker; APL Working Group: Ricarda Denzer, Nikolaus Gansterer, Philipp Gehmacher, Mariella Greil, Timothy Nouzak, Charlotta Ruth, Jasmin Schaitl, with performative contributions of the course  ""Performance and Space"" and other APL-associated courses.",,
65,65,Art & Science Exhibition,,,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,PSK,005,Raum 038–044,,,,,Ausstellung in den zentralen Uni-Gebäuden,Art & Science,Institut für Bildende und Mediale Kunst,"Eine Querschnittsausstellung von Arbeiten der Studierenden des Master-Programms Art & Science, die während des Studienjahrs 2021/22 im Kontext der angebotenen Lehrveranstaltungen, Workshops und des Jahresthemas entstanden sind. Im Zentrum dieser Untersuchungen steht die Erforschung der vielfältigen Wechselwirkungen zwischen Kunst und Wissenschaft, das kritische Verständnis gesellschaftlicher und technologischer Entwicklungen und die Gestaltung von neuen Zugangsformen in beiden Diskursen.","A cross-sectional exhibition presents works by students of the Art & Science master's program created during the 2021/22 academic year in the context of the courses, workshops, and annual theme on offer. Their explorations focus on the multiple interactions between art and science, critically understanding social and technological developments, and designing new forms of access in both discourses.",,,,,,,,,Beteiligte ,Studierende der Abteilung Art & Science,Contributers,Students of the Department of Art & Science,,
66,66,What's Moving?,,,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,PSK,010,CDS Studio,,,,,Ausstellung in den zentralen Uni-Gebäuden,"Cross-Disciplinary Strategies – Applied Studies in Art, Science, Philosophy, and Global Challenges",Institut für Kunst und Gesellschaft,"Über die Dauer des Angewandte Festivals zeigen Bachelor- und Master-Studierende die Ergebnisse ihrer Jahres- und Semesterprojekte. Vorgabe ist, gemeinsam ein Programm, eine Ausstellung und ein soziales Setting zu entwickeln. Die performative Ausstellung ist kollaborativ erarbeitet und bleibt daher in Bewegung: zwischen geteiltem Raum, geteilter Zeit und Arbeit und geteilten Ressourcen.","Over the course of the Angewandte Festival, bachelor and master’s students present the results of their annual and semester projects. The requirement is to collaboratively develop a program, an exhibition, and a social setting. The performative exhibition is developed in collaboration and therefore remains in motion: between shared space, shared time and work, and shared resources.",,,,,,,,,Beteiligte ,Studierende der Abteilung Cross-Disciplinary Strategies,Contributers,Students of the Department of Cross-Disciplinary Strategies,,
67,67,A maze (me) with interconnected solutions,Lectures for future / The Future is collective,Lectures for future / The Future is collective,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,PSK,010,CDS Studio,,,,,Ausstellung in den zentralen Uni-Gebäuden,"Cross-Disciplinary Strategies – Applied Studies in Art, Science, Philosophy, and Global Challenges",Institut für Kunst und Gesellschaft,"„Die Klimakrise ist ein Verbrechen, das strafrechtlich verfolgt werden sollte. (…) Dieses Verbrechen findet schon seit Jahrzehnten statt. Wir sehen seine Auswirkungen in der schrecklichen Hitze und den Waldbränden (…); in den Megastürmen (…); der Meeresspiegel wird steigen (…). Dieses Verbrechen hat…) unzählige Milliarden Dollar an wirtschaftlichen Schäden verursacht und lebenswichtige Ökosysteme und die Tierwelt verwüstet. Es hat ohnehin schon marginalisierte Gemeinschaften auf der ganzen Welt unverhältnismäßig stark betroffen (…)"" – Mark Hertsgaard, The climate crisis is a crime that should be prosecuted, The Guardian, London, 2022-06-302021","“The climate crisis is a crime that should be prosecuted. (. . .) This crime has been going on for decades. We see its effects in the horrific heat and wildfires (. . .); in the mega-storms (. . .); sea levels are set to rise (. . .). This crime has (. . .) caused countless billions of dollars in economic damage and ravaged vital ecosystems and wildlife. It has disproportionately affected already marginalized communities around the world (. . .)“ —  Mark Hertsgaard, “The climate crisis is a crime that should be prosecuted,” The Guardian, London, June 30, 2021",,,,,,,,,Beteiligte ,"Eva Gradl, Kato Herbots, Felix Meier – Studierende der Abteilung Cross-Disciplinary Strategies",Contributers,"Eva Gradl, Kato Herbots, Felix Meier – Students of the Department of Cross-Disciplinary Strategies",,
